Season,TeamA,TeamB,WinProbability
2024,1163,1235,0.90622115
2024,1163,1228,0.89505225
2024,1163,1120,0.7997559
2024,1163,1361,0.8385011
2024,1163,1140,0.79968643
2024,1163,1450,0.7608431
2024,1163,1194,0.7936918
2024,1163,1321,0.5616634
2024,1163,1179,0.6061003
2024,1163,1182,0.44639784
2024,1163,1412,0.8433762
2024,1163,1463,0.7655938
2024,1163,1287,0.86986774
2024,1163,1355,0.96622133
2024,1163,1391,0.96622133
2024,1163,1314,0.8602089
2024,1163,1112,0.90622115
2024,1163,1124,0.89505225
2024,1163,1104,0.7997559
2024,1163,1388,0.8385011
2024,1163,1155,0.79968643
2024,1163,1173,0.7608431
2024,1163,1280,0.7936918
2024,1163,1277,0.5616634
2024,1163,1305,0.6061003
2024,1163,1307,0.44639784
2024,1163,1213,0.8433762
2024,1163,1158,0.7655938
2024,1163,1159,0.86986774
2024,1163,1253,0.96622133
2024,1163,1224,0.96622133
2024,1163,1447,0.96622133
2024,1163,1345,0.8602089
2024,1163,1397,0.90622115
2024,1163,1166,0.89505225
2024,1163,1242,0.7997559
2024,1163,1211,0.8385011
2024,1163,1376,0.79968643
2024,1163,1400,0.7608431
2024,1163,1429,0.7936918
2024,1163,1395,0.5616634
2024,1163,1161,0.6061003
2024,1163,1438,0.6061003
2024,1163,1332,0.44639784
2024,1163,1270,0.8433762
2024,1163,1359,0.7655938
2024,1163,1103,0.86986774
2024,1163,1389,0.96622133
2024,1163,1212,0.96622133
2024,1163,1286,0.96622133
2024,1163,1222,0.8602089
2024,1163,1266,0.90622115
2024,1163,1246,0.89505225
2024,1163,1181,0.7997559
2024,1163,1458,0.8385011
2024,1163,1403,0.79968643
2024,1163,1196,0.7608431
2024,1163,1304,0.7936918
2024,1163,1401,0.5616634
2024,1163,1129,0.6061003
2024,1163,1160,0.6061003
2024,1163,1301,0.44639784
2024,1163,1241,0.8433762
2024,1163,1436,0.7655938
2024,1163,1324,0.86986774
2024,1163,1443,0.96622133
2024,1163,1255,0.96622133
2024,1235,1228,0.90622115
2024,1235,1120,0.89505225
2024,1235,1361,0.7997559
2024,1235,1140,0.8385011
2024,1235,1450,0.79968643
2024,1235,1194,0.7608431
2024,1235,1321,0.7936918
2024,1235,1179,0.5616634
2024,1235,1182,0.6061003
2024,1235,1412,0.44639784
2024,1235,1463,0.8433762
2024,1235,1287,0.7655938
2024,1235,1355,0.86986774
2024,1235,1391,0.96622133
2024,1235,1314,0.891882
2024,1235,1112,0.8602089
2024,1235,1124,0.90622115
2024,1235,1104,0.89505225
2024,1235,1388,0.7997559
2024,1235,1155,0.8385011
2024,1235,1173,0.79968643
2024,1235,1280,0.7608431
2024,1235,1277,0.7936918
2024,1235,1305,0.5616634
2024,1235,1307,0.6061003
2024,1235,1213,0.44639784
2024,1235,1158,0.8433762
2024,1235,1159,0.7655938
2024,1235,1253,0.86986774
