Season,TeamA,TeamB,WinProbability
2024,1163,1255,0.9939375
2024,1235,1443,0.99171126
2024,1228,1324,0.98878366
2024,1120,1436,0.984519
2024,1361,1241,0.9850404
2024,1140,1301,0.8568284
2024,1450,1160,0.35900262
2024,1194,1129,0.44329613
2024,1321,1401,0.3648872
2024,1179,1304,0.17909835
2024,1182,1196,0.25815764
2024,1412,1403,0.93210787
2024,1463,1458,0.18838543
2024,1287,1181,0.09428402
2024,1355,1246,0.437011
2024,1391,1266,0.437011
2024,1314,1222,0.3648872
2024,1112,1286,0.9939375
2024,1124,1212,0.99171126
2024,1104,1389,0.98878366
2024,1388,1103,0.984519
2024,1155,1359,0.9850404
2024,1173,1270,0.8568284
2024,1280,1332,0.35900262
2024,1277,1438,0.3564418
2024,1305,1161,0.3648872
2024,1307,1395,0.17909835
2024,1213,1429,0.25815764
2024,1158,1400,0.93210787
2024,1159,1376,0.18838543
2024,1253,1211,0.09428402
2024,1224,1242,0.437011
2024,1447,1166,0.437011
2024,1345,1397,0.3564418
