Season,TeamA,TeamB,WinProbability
2024,Connecticut,Longwood,0.9939375
2024,Iowa St,WKU,0.99171126
2024,Illinois,Oakland,0.98878366
2024,Auburn,Vermont,0.984519
2024,San Diego St,James Madison,0.9850404
2024,BYU,NC State,0.8568284
2024,Colorado,Washington St,0.35900262
2024,Boise St,FL Atlantic,0.44329613
2024,Texas A&M,Northwestern,0.3648872
2024,Nebraska,Drake,0.17909835
2024,Florida,Duquesne,0.25815764
2024,UAB,Texas Tech,0.93210787
2024,Wisconsin,Yale,0.18838543
2024,Duke,Morehead St,0.09428402
2024,Kentucky,S Dakota St,0.437011
2024,Marquette,Stetson,0.437011
2024,Houston,North Carolina,0.3648872
2024,Arizona,Montana St,0.9939375
2024,Baylor,Grambling,0.99171126
2024,Alabama,St Peter's,0.98878366
2024,St Mary's CA,Akron,0.984519
2024,Clemson,Samford,0.9850404
2024,Dayton,McNeese St,0.8568284
2024,Oregon,Mississippi St,0.35900262
2024,Virginia,Michigan St,0.3564418
2024,Colorado St,Nevada,0.3648872
2024,TCU,New Mexico,0.17909835
2024,Utah St,Grand Canyon,0.25815764
2024,Col Charleston,Texas,0.93210787
2024,South Carolina,Colgate,0.18838543
2024,Gonzaga,Long Beach St,0.09428402
2024,Kansas,Howard,0.437011
2024,Creighton,Wagner,0.437011
2024,Tennessee,Purdue,0.3564418
