Predicted Winner,Underdog
UNC Greensboro,Marshall
Abilene Chr,Savannah St
UCF,Oklahoma
Brooklyn,SUNY Albany
Pacific,Kennesaw
S Dakota St,Lafayette
Bryant,Rhode Island
N Dakota St,Old Dominion
Robert Morris,Bradley
UT Arlington,New Mexico
W Michigan,ULM
George Mason,Chattanooga
Augusta,Creighton
Houston Chr,TAM C. Christi
McNeese St,Old Dominion
Bucknell,Wright St
VCU,Drake
Fordham,Loyola MD
N Colorado,Oklahoma
Norfolk St,Virginia Tech
Washington St,SUNY Albany
Centenary,Iona
Hampton,Augusta
W Michigan,Notre Dame
Alabama,NC State
UC Santa Barbara,Citadel
UTRGV,St Thomas MN
SE Louisiana,Citadel
San Diego St,Troy
Cal Baptist,Portland St
DePaul,Duquesne
Boise St,Navy
Tulsa,Longwood
Wright St,Bowling Green
Quinnipiac,TCU
W Salem St,Miami FL
Idaho St,Belmont
Charlotte,Colorado St
Canisius,Louisville
Arizona,Ark Pine Bluff
SUNY Albany,Longwood
Dartmouth,Kansas
Pittsburgh,High Point
UC Davis,Winthrop
San Diego St,SMU
Sam Houston St,Fairfield
S Dakota St,Centenary
UNC Asheville,Utah St
Drake,SC Upstate
Weber St,NC State
Longwood,Northwestern
Baylor,Sam Houston St
Santa Clara,Jackson St
Holy Cross,Rice
Missouri St,San Diego St
Rice,UT Arlington
Le Moyne,Oregon St
Penn,Queens NC
Liberty,TCU
Kansas St,Idaho St
UNC Greensboro,Loyola-Chicago
Cornell,Baylor
Augusta,FL Atlantic
Syracuse,Massachusetts
Oakland,Washington
Radford,Kent
Tennessee,Louisiana Tech
ETSU,Campbell
Ark Little Rock,Longwood
Portland St,W Illinois
Elon,Oakland
Grand Canyon,Gardner Webb
Canisius,Tulane
Missouri,Utica
Alabama St,McNeese St
Mt St Mary's,UAB
Alabama,Missouri KC
UTRGV,Xavier
Evansville,Minnesota
Villanova,Mississippi St
Southern Utah,UCF
W Carolina,Towson
Xavier,Santa Clara
South Carolina,Coastal Car
Columbia,UT Arlington
Texas,Incarnate Word
Pacific,Marquette
VCU,C Michigan
Louisiana,UNC Asheville
UC Irvine,Missouri St
S Carolina St,Oregon St
ULM,Wisconsin
Detroit,Drexel
North Florida,W Texas A&M
Illinois,Lindenwood
South Florida,Bethune-Cookman
S Illinois,N Colorado
Utah St,Utica
NC State,Lipscomb
Louisville,South Florida
Oregon St,Temple
Long Beach St,Detroit
Le Moyne,Citadel
TAM C. Christi,Fairfield
Davidson,DePaul
NE Omaha,Okla City
Hardin-Simmons,Northwestern LA
Mercer,Morris Brown
Drake,Jacksonville
Idaho,Harvard
BYU,Kansas St
Stony Brook,W Salem St
New Mexico St,Tarleton St
Elon,Syracuse
Charleston So,Vermont
LSU,Northwestern
East Texas A&M,SUNY Albany
Elon,PFW
Boise St,Denver
W Michigan,Chicago St
Marist,UCF
CS Sacramento,Loy Marymount
Cent Arkansas,N Dakota St
Dartmouth,NC A&T
SF Austin,G Washington
FL Atlantic,UNC Asheville
Penn St,San Jose St
IL Chicago,Army
CS Sacramento,Maine
Boston College,Boston Univ
Wagner,Arkansas St
Fordham,SE Missouri St
MTSU,Houston
San Diego St,UAB
Morris Brown,UC Riverside
PFW,Connecticut
Santa Clara,Florida St
Fordham,Okla City
UT Arlington,Bellarmine
Howard,Grambling
Northwestern,W Illinois
UT San Antonio,Oregon
Robert Morris,Vanderbilt
San Jose St,Kent
Tulsa,Murray St
N Colorado,Virginia Tech
Wagner,Lehigh
UT Arlington,Augusta
Washington St,NC Central
Colgate,Norfolk St
Nevada,UTEP
E Washington,Montana
Rhode Island,Bethune-Cookman
UC San Diego,Alliant Intl
St Thomas MN,San Francisco
Seattle,New Hampshire
Ga Southern,Presbyterian
Kansas St,UC Santa Barbara
UNC Wilmington,Arizona St
Siena,Penn
Sacred Heart,Georgia St
Oklahoma St,Charlotte
Hardin-Simmons,Winthrop
San Francisco,Alabama St
Incarnate Word,Ark Little Rock
Portland,Utah Valley
Miami OH,Jackson St
Texas Tech,Delaware St
American Univ,Alliant Intl
UNC Wilmington,Army
Northern Arizona,UT Arlington
IL Chicago,Old Dominion
Okla City,FL Atlantic
Wisconsin,Maine
St Louis,Denver
Loyola MD,Duke
Alabama A&M,Boston Univ
Toledo,Penn St
UAB,VMI
Citadel,Col Charleston
Central Conn,UC Santa Barbara
UC Davis,Murray St
UC San Diego,SIUE
UNLV,NE Omaha
Notre Dame,Incarnate Word
Vermont,Maine
Jacksonville St,Southern Miss
Tennessee,Nicholls St
St Joseph's PA,Elon
Hardin-Simmons,Miami OH
Dartmouth,North Texas
Appalachian St,Bowling Green
Mississippi,Stanford
San Francisco,High Point
Queens NC,Colgate
Houston,Providence
Ohio St,UC Santa Barbara
Yale,Loyola-Chicago
SUNY Albany,MS Valley St
Louisville,American Univ
Chattanooga,Virginia Tech
Georgia St,Austin Peay
Sacred Heart,NC State
Armstrong St,SE Missouri St
Oakland,Lafayette
Mercer,Portland
Ark Little Rock,VCU
Utica,PFW
Incarnate Word,Oregon St
Morgan St,Elon
Purdue,Columbia
Oregon St,Northern Iowa
Cal Baptist,Nevada
CS Bakersfield,Louisiana
Pacific,Baylor
Florida A&M,Radford
Siena,Illinois
Rhode Island,MA Lowell
Merrimack,Iowa
C Michigan,Wagner
Cornell,Birmingham So
Oakland,Austin Peay
Lafayette,Iowa
Bowling Green,San Diego
Columbia,Winthrop
UNLV,Missouri St
Kansas,Northern Iowa
Cornell,Oklahoma
Longwood,Brown
Chattanooga,Fresno St
Akron,N Colorado
Tennessee Tech,Northern Iowa
CS Bakersfield,SF Austin
Fresno St,UT Arlington
Tarleton St,Charlotte
Georgetown,Fordham
Brooklyn,UC Santa Barbara
Pacific,Louisiana
Northern Arizona,Sacred Heart
Syracuse,Stony Brook
SIUE,Lamar
Oklahoma,Troy
St John's,Yale
Wichita St,Southern Indiana
Syracuse,Kennesaw
Connecticut,Northern Iowa
NE Omaha,Army
Portland,Samford
Cal Baptist,Virginia
UC Riverside,Connecticut
Cent Arkansas,FL Atlantic
Winthrop,Hofstra
Radford,FGCU
Rhode Island,CS Fullerton
Fordham,Radford
SC Upstate,Texas A&M
Army,CS Sacramento
Northern Arizona,SE Louisiana
UCLA,Coppin St
Gardner Webb,Oklahoma St
ETSU,UC Davis
Marshall,Robert Morris
Notre Dame,Merrimack
Wake Forest,Drake
Dayton,Fordham
Augusta,Duke
Baylor,Robert Morris
Lehigh,Louisiana Tech
Nevada,Kentucky
UTEP,New Hampshire
Ohio,Southern Utah
Hofstra,Incarnate Word
Coppin St,Jacksonville St
Connecticut,Texas A&M
Kentucky,SUNY Albany
PFW,Idaho
NJIT,Arizona
St Joseph's PA,Canisius
Navy,Tennessee Tech
VMI,Temple
Georgia,St Bonaventure
Drake,South Dakota
Navy,Idaho
Morehead St,N Dakota St
Hofstra,Villanova
Washington,ULM
Stetson,NE Illinois
N Illinois,Birmingham So
Loyola MD,Dartmouth
California,Michigan
Xavier,MA Lowell
Missouri St,Oral Roberts
Charlotte,Maryland
Seattle,Augusta
Maine,Dayton
Appalachian St,South Florida
McNeese St,MA Lowell
Portland,Belmont
Columbia,MTSU
Penn,E Kentucky
Creighton,North Alabama
New Mexico,Indiana
Davidson,Towson
TCU,Arizona
Bowling Green,CS Northridge
St Thomas MN,S Illinois
Utah Valley,Oklahoma St
FGCU,Alcorn St
Mercyhurst,MD E Shore
New Hampshire,Mississippi St
Austin Peay,Augusta
St Francis NY,Iona
Harvard,Ball St
Col Charleston,F Dickinson
SC Upstate,N Colorado
Arizona,N Kentucky
UTEP,Marist
St Mary's CA,Texas A&M
Lipscomb,Evansville
Florida,Delaware St
Princeton,Miami OH
Howard,La Salle
Lipscomb,Marshall
SF Austin,Colorado St
Montana,Sacred Heart
Chicago St,UTEP
North Florida,Georgia St
Le Moyne,Kansas
Furman,Delaware St
Georgia St,Arizona St
FL Atlantic,McNeese St
Santa Clara,Troy
Utah,Nevada
Colgate,St Thomas MN
N Illinois,Georgia St
Georgia,Valparaiso
Sam Houston St,Brown
Bowling Green,Evansville
Penn,Murray St
St Bonaventure,Pacific
Cent Arkansas,Le Moyne
Weber St,Birmingham So
Harvard,Niagara
UMBC,Florida
Seton Hall,Campbell
Boston Univ,UNC Wilmington
Wichita St,Manhattan
Miami FL,Army
Washington,Rider
Loy Marymount,Missouri
Alliant Intl,New Orleans
Tennessee St,Mercer
Lafayette,Maine
SE Louisiana,Charlotte
MS Valley St,San Francisco
LIU Brooklyn,Savannah St
Fairfield,Coastal Car
Iona,Akron
New Mexico St,Northeastern
Winthrop,Bryant
Towson,Columbia
Mercyhurst,Queens NC
Appalachian St,Brooklyn
PFW,Delaware St
Georgetown,Robert Morris
Austin Peay,Montana St
Samford,Kennesaw
Coppin St,Chattanooga
W Illinois,Drake
Long Beach St,Butler
Siena,UAB
Penn,Mercyhurst
Indiana,Illinois
Iona,UMBC
Tennessee St,Bryant
Montana,Ball St
Sacred Heart,Morgan St
New Mexico St,San Diego St
Wright St,Georgia Tech
Georgia St,Charlotte
Maryland,W Illinois
Colgate,Liberty
Seattle,Holy Cross
Old Dominion,Fairfield
S Carolina St,Ohio St
New Orleans,Boise St
Birmingham So,Texas Tech
W Michigan,Tennessee
Xavier,Nevada
Presbyterian,USC
E Illinois,Fordham
Utah Valley,E Michigan
Mississippi St,S Dakota St
TX Southern,Miami FL
Ohio,Harvard
Wagner,Morehead St
UAB,SE Missouri St
CS Sacramento,North Carolina
CS Fullerton,UT Arlington
Birmingham So,UMBC
Fresno St,Stonehill
Siena,Old Dominion
SC Upstate,Binghamton
California,Towson
New Mexico St,Mercyhurst
Northern Iowa,Florida St
WKU,Montana St
Ark Pine Bluff,Wake Forest
North Florida,Morehead St
IUPUI,Washington
Boston Univ,Temple
Prairie View,Nevada
New Mexico,Stetson
USC,Creighton
Oklahoma St,Vanderbilt
VCU,Troy
UNLV,Fresno St
Iona,Chattanooga
UMBC,Samford
Pacific,Wake Forest
Portland,Col Charleston
MA Lowell,SE Louisiana
Virginia Tech,Le Moyne
East Texas A&M,South Florida
Cal Baptist,ULM
Presbyterian,Illinois
Cleveland St,CS Bakersfield
Binghamton,Jackson St
Troy,San Francisco
N Colorado,Kennesaw
S Dakota St,Tulane
Idaho,Citadel
Winthrop,UNLV
Robert Morris,Houston
Oklahoma,N Dakota St
Chattanooga,Monmouth NJ
Syracuse,UT Arlington
Hardin-Simmons,Winthrop
Jackson St,Miami FL
UCF,Incarnate Word
W Texas A&M,Iowa
Notre Dame,Abilene Chr
FL Atlantic,Wright St
Indiana,UNC Greensboro
Hardin-Simmons,Tennessee Tech
Delaware St,TAM C. Christi
CS Fullerton,Colorado
Notre Dame,SC Upstate
Buffalo,Abilene Chr
Idaho St,UC Riverside
Georgia Tech,Canisius
Tarleton St,Davidson
Valparaiso,Vanderbilt
NC Central,Ark Little Rock
S Dakota St,Portland St
Miami OH,Georgetown
Southern Indiana,SUNY Albany
SUNY Albany,Santa Clara
Fairfield,Santa Clara
Canisius,Pepperdine
Illinois,Dartmouth
Buffalo,Idaho
Canisius,San Francisco
Norfolk St,Niagara
Incarnate Word,UC Santa Barbara
Augusta,Washington St
Xavier,DePaul
Alabama A&M,Birmingham So
La Salle,UNLV
Iowa St,S Carolina St
UMBC,Presbyterian
Connecticut,Rice
Kennesaw,Louisville
Dayton,Wisconsin
UNC Asheville,Bradley
St Thomas MN,Savannah St
Hofstra,St Peter's
Richmond,Binghamton
Youngstown St,CS Sacramento
West Virginia,Georgia St
Armstrong St,Valparaiso
Ohio St,UT San Antonio
C Michigan,Texas A&M
Wyoming,Coastal Car
New Mexico St,Bradley
Georgia,Boston College
Marshall,Wyoming
High Point,Minnesota
C Michigan,NE Illinois
Miami OH,San Diego
E Washington,Texas A&M
Tulane,LIU Brooklyn
Nevada,CS Bakersfield
Texas,Iowa
West Virginia,Delaware
Hawaii,UT San Antonio
Youngstown St,St Mary's CA
Florida Intl,Iowa St
Houston Chr,Arkansas
UNC Asheville,W Carolina
Kansas St,Purdue
Kentucky,Florida Intl
Florida St,New Orleans
Chattanooga,TCU
Vanderbilt,PFW
Minnesota,Miami OH
Grand Canyon,Duquesne
La Salle,E Washington
Illinois St,Lindenwood
Pittsburgh,Monmouth NJ
Chattanooga,Oakland
Duquesne,SUNY Albany
Missouri St,PFW
LIU Brooklyn,Lamar
Columbia,Montana
Appalachian St,Penn
Portland,Lafayette
Utah St,North Alabama
Texas St,Oklahoma St
Army,Bethune-Cookman
Morris Brown,NE Illinois
CS Sacramento,Troy
WI Milwaukee,TAM C. Christi
Northeastern,Rhode Island
TN Martin,Bellarmine
Iowa St,SUNY Albany
Minnesota,Southern Indiana
Appalachian St,Indiana
Chattanooga,Army
St Mary's CA,Utah Tech
UTRGV,Northeastern
Notre Dame,Marshall
Okla City,Cal Poly
Davidson,W Illinois
St Joseph's PA,ETSU
West Georgia,Birmingham So
Drexel,Notre Dame
Morgan St,Illinois St
Brooklyn,Vermont
Austin Peay,WKU
Alcorn St,Toledo
Savannah St,Utica
Tennessee St,Manhattan
Tennessee,Col Charleston
Savannah St,Old Dominion
Coppin St,California
Oakland,St Louis
N Kentucky,Alliant Intl
Mercer,McNeese St
Utah St,Utah Valley
Wyoming,Okla City
Dartmouth,UC Davis
Charleston So,Montana
Richmond,Rice
Washington St,Towson
UNC Wilmington,Lafayette
West Virginia,High Point
Ball St,Nebraska
Kennesaw,Queens NC
TN Martin,Hartford
Tulane,Alabama A&M
North Florida,Massachusetts
Fordham,CS Sacramento
Oklahoma,William & Mary
Vermont,Longwood
East Texas A&M,Southern Univ
Portland St,UMBC
S Dakota St,Loy Marymount
Furman,E Washington
Canisius,Clemson
Georgia,New Orleans
Fairfield,Utah Tech
WI Milwaukee,New Hampshire
North Dakota,Bellarmine
Oregon,Mt St Mary's
Florida A&M,North Texas
Minnesota,Utah Tech
UMBC,Lipscomb
Cal Baptist,North Florida
Idaho St,Cleveland St
Tennessee,Siena
Marshall,Loyola-Chicago
Villanova,Chattanooga
Kent,Alliant Intl
Stanford,UAB
Fresno St,S Carolina St
Merrimack,Penn
Colgate,Bucknell
Grambling,Elon
Arizona St,North Florida
Kansas St,Stetson
Bethune-Cookman,W Illinois
Southern Univ,SF Austin
ULM,Michigan
Miami OH,Texas Tech
N Kentucky,Morgan St
E Michigan,Columbia
Denver,SMU
E Illinois,UAB
S Carolina St,N Colorado
W Illinois,West Georgia
WKU,New Orleans
SUNY Albany,CS Bakersfield
Purdue,Cal Poly
American Univ,Longwood
Penn,Dayton
San Jose St,UC Irvine
Siena,South Florida
Florida A&M,Utica
Campbell,Massachusetts
Providence,Cal Baptist
Penn,FL Atlantic
Incarnate Word,Morgan St
Tennessee St,Gardner Webb
Detroit,W Carolina
South Alabama,UT San Antonio
Cornell,Birmingham So
Colorado St,Stonehill
Penn St,Louisiana
Akron,Campbell
Alabama,Air Force
Birmingham So,Notre Dame
Ark Pine Bluff,Drake
Merrimack,Memphis
Robert Morris,La Salle
St Bonaventure,Towson
Jacksonville,Arkansas
E Washington,Penn
Elon,Merrimack
Seattle,NE Illinois
UC Riverside,Montana
