Predicted Winner,Underdog,Win Probability
CS Northridge,Loyola-Chicago,0.9081137
Sam Houston St,Marshall,0.55154204
UNC Wilmington,Southern Univ,0.8674391
Centenary,Buffalo,0.93794084
Valparaiso,Columbia,0.73663914
South Carolina,Butler,0.8527585
Mississippi,Colorado,0.9157573
Pacific,Coppin St,0.5562936
Penn,Sacred Heart,0.7353368
Utah St,North Texas,0.9652798
La Salle,MD E Shore,0.7381869
Texas A&M,Northwestern LA,0.55453366
TAM C. Christi,MTSU,0.74135405
Ball St,WI Green Bay,0.6014674
Iowa St,Elon,0.8279566
St Francis NY,Seton Hall,0.7713232
American Univ,Le Moyne,0.8135803
Hawaii,Weber St,0.71623063
Presbyterian,Georgetown,0.89836127
Houston Chr,Harvard,0.91368383
Mercyhurst,Abilene Chr,0.5533186
Portland,PFW,0.9029857
CS Fullerton,Denver,0.8090757
Alabama A&M,Col Charleston,0.836017
Clemson,WI Green Bay,0.8515321
Oakland,Utah Valley,0.653406
Nebraska,Utah St,0.6568428
Tennessee St,Bucknell,0.7416141
CS Bakersfield,North Alabama,0.9187018
Utah,St Francis NY,0.8950253
Kent,IUPUI,0.8713377
Army,Centenary,0.99467975
Wofford,Bellarmine,0.85347927
Colorado,Augusta,0.9079869
Missouri,Hofstra,0.73129034
E Kentucky,High Point,0.60712814
NC Central,Cal Baptist,0.9139481
Providence,Holy Cross,0.5514486
Longwood,Arizona,0.9030328
St Francis PA,E Washington,0.67835593
TCU,Hawaii,0.5599889
Penn,North Florida,0.5636728
Chicago St,SE Louisiana,0.68522733
Chicago St,Cleveland St,0.9777581
Illinois,Wagner,0.64945954
Austin Peay,UTRGV,0.50255716
CS Fullerton,Stonehill,0.71121013
St Francis PA,Wagner,0.63849384
Liberty,Penn,0.86194456
Queens NC,Utah St,0.50892377
Notre Dame,St Louis,0.5949734
New Mexico St,Arkansas St,0.5777255
Armstrong St,Minnesota,0.7715049
George Mason,Vermont,0.9315904
Longwood,N Illinois,0.85175705
UNLV,LIU Brooklyn,0.96598274
Lehigh,Northwestern,0.95968604
Wofford,Oral Roberts,0.53131485
Nevada,Kentucky,0.63407916
Memphis,Portland St,0.90539676
Marquette,Marshall,0.69225603
Marist,Butler,0.7261913
Oklahoma St,Hartford,0.6292248
Texas St,UCLA,0.72040194
UC Riverside,W Carolina,0.76973844
Holy Cross,St Louis,0.6716779
San Francisco,Niagara,0.7678775
Mercer,Davidson,0.75800115
W Texas A&M,Iowa St,0.8386616
North Dakota,Georgia,0.9698398
San Francisco,San Diego St,0.6894076
Navy,UC Davis,0.9355842
Fairfield,Alcorn St,0.55887544
Mercer,ETSU,0.8314627
Siena,Le Moyne,0.72488457
NE Illinois,West Georgia,0.8637794
Providence,Norfolk St,0.6567159
UTRGV,Minnesota,0.955009
South Florida,Illinois,0.76096064
Belmont,IL Chicago,0.97577256
Norfolk St,Weber St,0.9409948
Pittsburgh,UTEP,0.6427577
San Diego,WI Green Bay,0.9130304
Northern Iowa,Wyoming,0.5932667
Yale,Dartmouth,0.5878843
California,St Mary's CA,0.71995187
Kentucky,Detroit,0.97606313
Manhattan,TCU,0.617253
Vermont,Winthrop,0.76883084
Fordham,Delaware St,0.573944
Houston Chr,Gardner Webb,0.51533026
Tulane,Monmouth NJ,0.97571623
N Kentucky,St Bonaventure,0.66933084
Ohio,Providence,0.82346535
WKU,San Diego,0.73090374
Kent,Lehigh,0.5263083
